Time,ECG
460,1.4838
461,59.177
462,116.6
463,175.1
464,248.43
465,306.66
466,379.72
467,436.88
468,501.31
469,547.68
470,586.23
471,618.85
472,646.89
473,663.34
474,669.54
475,651.74
476,642.85
477,618.58
478,582.46
479,554.69
480,520.72
481,487.56
482,481.63
483,483.52
484,473.27
485,456.29
486,430.14
487,391.05
488,343.33
489,293.45
490,242.77
491,199.64
492,157.58
493,123.88
494,83.44
495,49.202
496,14.963
1362,19.816
1363,73.735
1364,138.71
1365,198.02
1366,261.1
1367,327.42
1368,392.66
1369,458.72
1370,518.3
1371,561.16
1372,594.32
1373,626.13
1374,659.29
1375,675.74
1376,691.64
1377,683.02
1378,665.76
1379,640.42
1380,614.27
1381,572.21
1382,539.05
1383,506.97
1384,492.14
1385,484.06
1386,473.54
1387,456.83
1388,435.26
1389,388.89
1390,339.02
1391,289.41
1392,239.0
1393,192.36
1394,151.11
1395,112.83
1396,81.014
1397,46.776
1398,17.929
2240,44.08
2241,94.224
2242,156.77
2243,216.89
2244,273.23
2245,337.67
2246,403.72
2247,462.22
2248,512.09
2249,553.61
2250,586.5
2251,610.77
2252,634.76
2253,658.48
2254,649.05
2255,639.88
2256,613.19
2257,579.22
2258,546.06
2259,510.75
2260,471.93
2261,458.18
2262,451.98
2263,448.47
2264,430.14
2265,411.81
2266,383.77
2267,347.1
2268,305.05
2269,262.99
2270,225.79
2271,188.85
2272,151.11
2273,114.44
2274,75.622
2275,47.854
2276,24.938
3124,17.12
3125,74.005
3126,131.7
3127,189.39
3128,255.17
3129,328.77
3130,394.28
3131,459.25
3132,516.14
3133,572.75
3134,620.2
3135,659.29
3136,690.03
3137,712.13
3138,726.15
3139,729.39
3140,716.99
3141,697.58
3142,668.46
3143,634.76
3144,598.63
3145,553.88
3146,522.61
3147,511.56
3148,503.74
3149,491.34
3150,469.77
3151,439.84
3152,401.83
3153,354.11
3154,305.05
3155,248.43
3156,200.17
3157,168.09
3158,120.91
3159,83.44
3160,51.628
3161,17.659
4059,11.459
4060,71.309
4061,127.92
4062,188.04
4063,259.75
4064,325.81
4065,385.39
4066,452.78
4067,514.25
4068,565.47
4069,615.35
4070,654.71
4071,679.78
4072,704.85
4073,718.6
4074,713.75
4075,697.31
4076,681.67
4077,649.86
4078,623.98
4079,584.35
4080,548.76
4081,522.34
4082,511.83
4083,512.09
4084,487.56
4085,470.31
4086,436.88
4087,395.09
4088,344.68
4089,286.18
4090,229.56
4091,188.85
4092,148.14
4093,115.79
4094,82.632
4095,49.202
4096,18.199
4991,54.594
4992,115.79
4993,171.6
4994,236.3
4995,301.54
4996,374.6
4997,442.54
4998,491.88
4999,549.03
5000,590.55
5001,630.99
5002,663.61
5003,687.6
5004,703.24
5005,709.17
5006,691.64
5007,683.02
5008,663.61
5009,628.02
5010,585.42
5011,545.79
5012,525.04
5013,518.03
5014,506.7
5015,489.99
5016,468.69
5017,431.49
5018,386.46
5019,336.05
5020,285.64
5021,239.8
5022,198.02
5023,161.62
5024,123.34
5025,90.989
5026,62.412
5027,33.026
5028,9.5716
5889,11.459
5890,59.986
5891,114.17
5892,181.57
5893,247.08
5894,312.6
5895,378.92
5896,440.65
5897,497.81
5898,551.73
5899,595.94
5900,632.6
5901,659.02
5902,684.1
5903,698.38
5904,701.08
5905,688.41
5906,671.69
5907,642.58
5908,608.07
5909,574.1
5910,546.87
5911,528.27
5912,518.03
5913,510.75
5914,487.02
5915,461.41
5916,429.33
5917,379.72
5918,337.94
5919,288.33
5920,246.81
5921,197.48
5922,164.32
5923,123.07
5924,90.45
5925,58.368
5926,32.487
5927,1.4838
6763,26.556
6764,81.014
6765,145.45
6766,204.22
6767,271.08
6768,336.59
6769,401.83
6770,468.96
6771,526.65
6772,575.72
6773,616.43
6774,648.24
6775,675.74
6776,701.35
6777,711.32
6778,704.32
6779,689.22
6780,673.31
6781,644.2
6782,611.04
6783,568.98
6784,546.33
6785,529.89
6786,519.1
6787,512.09
6788,488.37
6789,463.57
6790,423.67
6791,373.79
6792,331.74
6793,290.49
6794,240.88
6795,207.72
6796,165.67
6797,125.5
6798,100.69
6799,66.995
6800,34.644
6801,11.998
7252,1.7534
7253,1.4838
7254,1.7534
7255,1.4838
7256,1.7534
7259,1.2142
7288,1.7534
7290,1.4838
7295,2.023
7296,1.7534
7297,2.023
7298,1.2142
7323,2.5621
7324,1.7534
7325,2.023
7326,2.023
7327,2.023
7328,1.7534
7329,2.5621
7331,0.94458
7332,2.5621
7351,3.3709
7438,4.4493
7447,1.4838
7451,1.2142
7452,4.1797
7454,2.2925
7559,9.0324
7560,60.255
7561,123.07
7562,184.81
7563,246.28
7564,306.93
7565,374.06
7566,435.53
7567,487.56
7568,540.4
7569,591.36
7570,623.17
7571,653.36
7572,669.27
7573,676.55
7574,672.5
7575,657.68
7576,627.48
7577,592.97
7578,560.08
7579,519.37
7580,482.71
7581,479.74
7582,472.19
7583,463.3
7584,446.85
7585,422.05
7586,388.62
7587,355.19
7588,321.76
7589,288.6
7590,254.9
7591,212.31
7592,173.75
7593,147.06
7594,106.63
7595,83.98
7596,58.099
7597,35.453
7598,19.816
7599,3.1013
8330,13.615
8331,63.221
8332,127.92
8333,185.89
8334,251.4
8335,316.91
8336,382.69
8337,448.2
8338,513.44
8339,570.06
8340,617.24
8341,649.05
8342,680.32
8343,704.58
8344,724.8
8345,721.3
8346,707.82
8347,683.56
8348,664.15
8349,625.32
8350,585.96
8351,552.53
8352,523.15
8353,516.14
8354,509.13
8355,494.03
8356,484.33
8357,458.18
8358,420.97
8359,368.4
8360,315.29
8361,258.68
8362,216.89
8363,179.15
8364,143.56
8365,104.47
8366,68.882
8367,35.722
8368,8.4932
8932,2.8317
8933,1.4838
8934,2.5621
9026,3.6405
9027,4.1797
9131,28.174
9132,78.048
9133,136.01
9134,194.51
9135,260.56
9136,327.69
9137,401.29
9138,463.3
9139,522.88
9140,584.62
9141,632.6
9142,676.55
9143,707.28
9144,738.01
9145,754.73
9146,758.77
9147,749.34
9148,732.35
9149,706.74
9150,672.5
9151,633.14
9152,599.71
9153,580.3
9154,568.98
9155,560.62
9156,551.73
9157,539.32
9158,502.93
9159,460.87
9160,412.61
9161,362.47
9162,312.06
9163,270.27
9164,220.93
9165,179.15
9166,129.54
9167,95.842
9168,62.682
9169,37.879
9170,13.346
9560,1.4838
9603,1.4838
9605,0.94458
9607,4.7189
9608,9.5716
9609,8.2236
9610,9.5716
9611,3.3709
9612,0.94458
9636,0.94458
9638,3.1013
9639,6.8756
9640,2.5621
9641,7.4148
9643,0.94458
9650,0.94458
9652,5.7973
9653,9.302
9654,8.7628
9655,8.4932
9656,9.5716
9657,2.8317
9659,7.1452
9660,9.8412
9661,1.7534
9663,1.2142
9675,1.2142
9676,2.023
9677,8.2236
9679,0.94458
9682,1.2142
9689,1.4838
9690,0.94458
9692,6.3365
9693,4.7189
9696,7.4148
9697,2.5621
9698,6.8756
9699,3.1013
9700,1.2142
9703,1.2142
9705,8.7628
9706,0.94458
9707,8.4932
9708,1.2142
9724,1.4838
9727,1.7534
9730,5.2581
9731,5.5277
9733,0.94458
9756,1.4838
9757,8.4932
9765,1.7534
9768,4.4493
9769,5.5277
9770,3.6405
9771,6.3365
9774,1.4838
9781,1.2142
9784,1.4838
9808,5.2581
9809,6.6061
9811,1.2142
9812,0.94458
9814,1.7534
9817,1.4838
9818,1.4838
9867,1.7534
9868,1.2142
9869,1.4838
9870,1.4838
9871,1.2142
9872,2.023
9874,0.94458
9875,1.4838
9876,1.4838
9877,1.4838
9878,1.4838
9879,1.4838
9880,0.94458
9882,1.2142
9884,2.2925
9885,1.2142
9886,1.4838
9887,1.4838
9888,1.2142
9889,2.023
9894,2.023
9895,2.023
9914,1.4838
9916,1.4838
9920,1.4838
9922,2.2925
9923,0.94458
9926,1.2142
9983,43.81
9984,96.65
9985,154.61
9986,222.01
9987,287.52
9988,353.03
9989,418.82
9990,483.52
9991,551.73
9992,596.75
9993,644.2
9994,679.51
9995,712.4
9996,729.93
9997,746.64
9998,740.17
9999,723.46
10000,698.11
10001,673.04
10002,631.26
10003,597.83
10004,573.02
10005,564.67
10006,556.31
10007,555.77
10008,544.99
10009,516.95
10010,472.46
10011,424.48
10012,379.99
10013,322.03
10014,273.23
10015,224.71
10016,187.23
10017,151.65
10018,111.21
10019,83.71
10020,54.324
10021,28.713
10022,8.4932
10497,0.94458
10506,1.4838
10517,1.2142
10534,1.2142
10538,1.2142
10555,2.5621
10558,1.7534
10559,1.2142
10570,1.4838
10573,1.7534
